HYG US Equity,
Date,EQY_SH_OUT(Unit: Million)
7/10/2009,43.4
7/13/2009,43.4
7/14/2009,43.4
7/15/2009,43.4
7/16/2009,43.4
7/17/2009,43.5
7/20/2009,43.6
7/21/2009,44.4
7/22/2009,44.4
7/23/2009,44.4
7/24/2009,44.4
7/27/2009,44.4
7/28/2009,44.4
7/29/2009,44.4
7/30/2009,44.7
7/31/2009,44.7
8/3/2009,44.7
8/4/2009,44.7
8/5/2009,46
8/6/2009,46
8/7/2009,46
8/10/2009,46
8/11/2009,46
8/12/2009,46
8/13/2009,46
8/14/2009,46
8/17/2009,46
8/18/2009,46
8/19/2009,46
8/20/2009,46
8/21/2009,46
8/24/2009,46
8/25/2009,46
8/26/2009,46
8/27/2009,46.5
8/28/2009,46.5
8/31/2009,46.5
9/1/2009,46.7
9/2/2009,46.7
9/3/2009,46.7
9/4/2009,46.7
9/8/2009,46.7
9/9/2009,46.7
9/10/2009,47.3
9/11/2009,47.3
9/14/2009,47.3
9/15/2009,47.3
9/16/2009,47.3
9/17/2009,47.3
9/18/2009,47.3
9/21/2009,47.3
9/22/2009,47.3
9/23/2009,47.3
9/24/2009,47.3
9/25/2009,47.3
9/28/2009,47.3
9/29/2009,47.3
9/30/2009,47.3
10/1/2009,46.5
10/2/2009,46.2
10/5/2009,46.4
10/6/2009,46.4
10/7/2009,46.4
10/8/2009,46.4
10/9/2009,46.4
10/12/2009,46.4
10/13/2009,46.4
10/14/2009,46.4
10/15/2009,46.5
10/16/2009,46.5
10/19/2009,46.7
10/20/2009,46.7
10/21/2009,46.7
10/22/2009,46.7
10/23/2009,46.7
10/26/2009,46.7
10/27/2009,46.7
10/28/2009,46.6
10/29/2009,46.6
10/30/2009,46.6
11/2/2009,46.9
11/3/2009,46.9
11/4/2009,47.7
11/5/2009,47.7
11/6/2009,47.8
11/9/2009,47.9
11/10/2009,48.3
11/11/2009,48.3
11/12/2009,48.3
11/13/2009,48.6
11/16/2009,48.6
11/17/2009,48.6
11/18/2009,48.6
11/19/2009,48.6
11/20/2009,48.6
11/23/2009,49
11/24/2009,49
11/25/2009,49
11/27/2009,49
11/30/2009,49.6
12/1/2009,49.6
12/2/2009,49.6
12/3/2009,49.6
12/4/2009,49.6
12/7/2009,49.6
12/8/2009,49.6
12/9/2009,49.6
12/10/2009,49.7
12/11/2009,49.7
12/14/2009,50
12/15/2009,50
12/16/2009,51
12/17/2009,51
12/18/2009,51.1
12/21/2009,51.3
12/22/2009,51.3
12/23/2009,51.3
12/24/2009,51.3
12/28/2009,51.3
12/29/2009,52.1
12/30/2009,52.1
12/31/2009,52.1
1/4/2010,52.1
1/5/2010,52.1
1/6/2010,53.3
1/7/2010,53.4
1/8/2010,53.6
1/11/2010,53.8
1/12/2010,54.2
1/13/2010,54.4
1/14/2010,54.4
1/15/2010,54.8
1/19/2010,54.8
1/20/2010,54.8
1/21/2010,54.8
1/22/2010,54.8
1/25/2010,54.8
1/26/2010,54.8
1/27/2010,55
1/28/2010,54.9
1/29/2010,54.8
2/1/2010,55.8
2/2/2010,55
2/3/2010,55
2/4/2010,54.4
2/5/2010,53.7
2/8/2010,52.9
2/9/2010,52.9
2/10/2010,53.1
2/11/2010,53.1
2/12/2010,53
2/16/2010,53.1
2/17/2010,53.1
2/18/2010,53.2
2/19/2010,53.3
2/22/2010,53.4
2/23/2010,53.5
2/24/2010,53.5
2/25/2010,53.5
2/26/2010,53.6
3/1/2010,54.1
3/2/2010,54.3
3/3/2010,54.7
3/4/2010,54.8
3/5/2010,55.6
3/8/2010,55.7
3/9/2010,55.9
3/10/2010,56
3/11/2010,56.1
3/12/2010,56.3
3/15/2010,56.3
3/16/2010,56.5
3/17/2010,56.6
3/18/2010,57.4
3/19/2010,57.5
3/22/2010,57.5
3/23/2010,58
3/24/2010,58
3/25/2010,58
3/26/2010,58.3
3/29/2010,58.4
3/30/2010,59.2
3/31/2010,59.8
4/1/2010,59.7
4/5/2010,60.3
4/6/2010,59.9
4/7/2010,59.9
4/8/2010,59.9
4/9/2010,60
4/12/2010,60
4/13/2010,60.4
4/14/2010,60.4
4/15/2010,60.4
4/16/2010,60.4
4/19/2010,60.3
4/20/2010,60.3
4/21/2010,60.4
4/22/2010,60.4
4/23/2010,60.4
4/26/2010,60.5
4/27/2010,61
4/28/2010,60.5
4/29/2010,60.6
4/30/2010,61.7
5/3/2010,61.2
5/4/2010,61.2
5/5/2010,60.4
5/6/2010,60.2
5/7/2010,59.2
5/10/2010,59.2
5/11/2010,59.2
5/12/2010,59.4
5/13/2010,59.6
5/14/2010,59.1
5/17/2010,58.5
5/18/2010,58.5
5/19/2010,58
5/20/2010,58
5/21/2010,57.9
5/24/2010,57.9
5/25/2010,57.9
5/26/2010,58.2
5/27/2010,58.2
5/28/2010,58.6
6/1/2010,58.6
6/2/2010,58.6
6/3/2010,58.6
6/4/2010,58.6
6/7/2010,58.6
6/8/2010,58.4
6/9/2010,58.4
6/10/2010,58.4
6/11/2010,58.4
6/14/2010,58.4
6/15/2010,59.8
6/16/2010,61.5
6/17/2010,61.5
6/18/2010,61.5
6/21/2010,61.7
6/22/2010,61.8
6/23/2010,61.8
6/24/2010,61.8
6/25/2010,61.8
6/28/2010,61.8
6/29/2010,61.8
6/30/2010,61.6
7/1/2010,61.6
7/2/2010,62.1
7/6/2010,62.1
7/7/2010,62.1
7/8/2010,62.1
7/9/2010,63.2
7/12/2010,63.2
7/13/2010,63.4
7/14/2010,63.6
7/15/2010,63.6
7/16/2010,63.6
7/19/2010,63.6
7/20/2010,64.5
7/21/2010,65
7/22/2010,64.8
7/23/2010,65.2
7/26/2010,65
7/27/2010,65.7
7/28/2010,65.9
7/29/2010,66.3
7/30/2010,67
8/2/2010,67.8
8/3/2010,68.2
8/4/2010,69.4
8/5/2010,69.6
8/6/2010,69.8
8/9/2010,69.8
8/10/2010,70.1
8/11/2010,70.1
8/12/2010,70.1
8/13/2010,70.1
8/16/2010,70.2
8/17/2010,70.6
8/18/2010,70.8
8/19/2010,71
8/20/2010,70.9
8/23/2010,71.1
8/24/2010,71.3
8/25/2010,71.3
8/26/2010,71.7
8/27/2010,72.1
8/30/2010,72.1
8/31/2010,72.7
9/1/2010,73
9/2/2010,73.1
9/3/2010,73.1
9/7/2010,73.3
9/8/2010,74.2
9/9/2010,74.2
9/10/2010,74.2
9/13/2010,74.6
9/14/2010,75.2
9/15/2010,75.8
9/16/2010,75.8
9/17/2010,76.1
9/20/2010,76.2
9/21/2010,76.4
9/22/2010,76.4
9/23/2010,76.4
9/24/2010,76.4
9/27/2010,76.5
9/28/2010,76.8
9/29/2010,77.3
9/30/2010,77.2
10/1/2010,78
10/4/2010,78
10/5/2010,78.1
10/6/2010,78.1
10/7/2010,78.1
10/8/2010,78.1
10/11/2010,78.1
10/12/2010,78.1
10/13/2010,78.1
10/14/2010,78.1
10/15/2010,78.1
10/18/2010,78.1
10/19/2010,78.2
10/20/2010,78.2
10/21/2010,78.2
10/22/2010,78.2
10/25/2010,78.2
10/26/2010,78.2
10/27/2010,78.4
10/28/2010,79.1
10/29/2010,79.1
11/1/2010,79.6
11/2/2010,79.3
11/3/2010,79.4
11/4/2010,79.8
11/5/2010,79.8
11/8/2010,79.8
11/9/2010,79.8
11/10/2010,79.8
11/11/2010,79.8
11/12/2010,79.8
11/15/2010,79.8
11/16/2010,79.8
11/17/2010,79.3
11/18/2010,79.3
11/19/2010,79.3
11/22/2010,79.5
11/23/2010,79.5
11/24/2010,79.2
11/26/2010,79.2
11/29/2010,79.2
11/30/2010,79.6
12/1/2010,79.7
12/2/2010,80.1
12/3/2010,79.8
12/6/2010,80.1
12/7/2010,80.3
12/8/2010,80.6
12/9/2010,80.4
12/10/2010,80.4
12/13/2010,80.4
12/14/2010,80.4
12/15/2010,80.4
12/16/2010,80.4
12/17/2010,80.4
12/20/2010,80.8
12/21/2010,81
12/22/2010,81.1
12/23/2010,81.1
12/27/2010,81.1
12/28/2010,81.5
12/29/2010,81.7
12/30/2010,81.7
12/31/2010,81.7
1/3/2011,82.8
1/4/2011,83.4
1/5/2011,84
1/6/2011,85.1
1/7/2011,85.1
1/10/2011,85.7
1/11/2011,85.7
1/12/2011,85.7
1/13/2011,86.1
1/14/2011,86.1
1/18/2011,87.4
1/19/2011,87.1
1/20/2011,87.1
1/21/2011,87.1
1/24/2011,87.5
1/25/2011,87.2
1/26/2011,87.2
1/27/2011,87.5
1/28/2011,87.3
1/31/2011,87.3
2/1/2011,88.2
2/2/2011,88.1
2/3/2011,88.4
2/4/2011,88.2
2/7/2011,89.1
2/8/2011,89.1
2/9/2011,89.2
2/10/2011,89.2
2/11/2011,89.2
2/14/2011,89.2
2/15/2011,89.2
2/16/2011,89.2
2/17/2011,89.2
2/18/2011,89.2
2/22/2011,89.5
2/23/2011,89.3
2/24/2011,89.3
2/25/2011,89.7
2/28/2011,90
3/1/2011,90.6
3/2/2011,91.1
3/3/2011,91.2
3/4/2011,91.4
3/7/2011,91.6
3/8/2011,92.2
3/9/2011,92.5
3/10/2011,92.3
3/11/2011,92.3
3/14/2011,92.3
3/15/2011,91.9
3/16/2011,91.3
3/17/2011,90.5
3/18/2011,90.5
3/21/2011,90.7
3/22/2011,90.7
3/23/2011,90.8
3/24/2011,91.2
3/25/2011,91.3
3/28/2011,91.8
3/29/2011,91.8
3/30/2011,92.8
3/31/2011,93.1
4/1/2011,93.3
4/4/2011,93.9
4/5/2011,94.3
4/6/2011,94.7
4/7/2011,94.7
4/8/2011,94.7
4/11/2011,94.7
4/12/2011,94.7
4/13/2011,94.7
4/14/2011,95
4/15/2011,95
4/18/2011,95
4/19/2011,95
4/20/2011,95
4/21/2011,95
4/25/2011,95
4/26/2011,95.1
4/27/2011,95.7
4/28/2011,95.6
4/29/2011,96.3
5/2/2011,96.6
5/3/2011,96.4
5/4/2011,96.6
5/5/2011,96.6
5/6/2011,96.6
5/9/2011,96.9
5/10/2011,96.7
5/11/2011,96.8
5/12/2011,96.8
5/13/2011,96.8
5/16/2011,96.9
5/17/2011,97
5/18/2011,97.6
5/19/2011,97.8
5/20/2011,97.7
5/23/2011,97.7
5/24/2011,98.1
5/25/2011,97.8
5/26/2011,97.8
5/27/2011,97.9
5/31/2011,98.4
6/1/2011,98.5
6/2/2011,98.6
6/3/2011,98.6
6/6/2011,98.1
6/7/2011,98.1
6/8/2011,97.6
6/9/2011,97.5
6/10/2011,96.8
6/13/2011,96.3
6/14/2011,96.3
6/15/2011,96
6/16/2011,95.3
6/17/2011,93.3
6/20/2011,92.9
6/21/2011,92.9
6/22/2011,93
6/23/2011,91.7
6/24/2011,91.7
6/27/2011,91.7
6/28/2011,91.9
6/29/2011,92.3
6/30/2011,92.3
7/1/2011,92.3
7/5/2011,92.9
7/6/2011,93.7
7/7/2011,95.5
7/8/2011,96.1
7/11/2011,96.6
7/12/2011,96.6
7/13/2011,96.6
7/14/2011,97.3
7/15/2011,97.3
7/18/2011,97.3
7/19/2011,97.3
7/20/2011,97.6
7/21/2011,97.7
7/22/2011,98
7/25/2011,98
7/26/2011,98
7/27/2011,98
7/28/2011,98
7/29/2011,97.9
8/1/2011,97.9
8/2/2011,97.9
8/3/2011,97.3
8/4/2011,96.8
8/5/2011,96.3
8/8/2011,96.3
8/9/2011,95.3
8/10/2011,95.3
8/11/2011,95.3
8/12/2011,95.3
8/15/2011,95.4
8/16/2011,95.2
8/17/2011,95.6
8/18/2011,95.3
8/19/2011,95.3
8/22/2011,94.8
8/23/2011,94.8
8/24/2011,95.2
8/25/2011,95.2
8/26/2011,95.2
8/29/2011,95.3
8/30/2011,95.6
8/31/2011,95.8
9/1/2011,96.4
9/2/2011,96.4
9/6/2011,96.4
9/7/2011,96.4
9/8/2011,96.4
9/9/2011,96.6
9/12/2011,96.6
9/13/2011,96.6
9/14/2011,96.7
9/15/2011,96.7
9/16/2011,96.7
9/19/2011,96.8
9/20/2011,96.9
9/21/2011,97.7
9/22/2011,97.7
9/23/2011,97.7
9/26/2011,98.5
9/27/2011,99.4
9/28/2011,100.2
9/29/2011,100.9
9/30/2011,101.4
10/3/2011,101.4
10/4/2011,101.2
10/5/2011,101.4
10/6/2011,102.5
10/7/2011,103
10/10/2011,103
10/11/2011,104.2
10/12/2011,104.3
10/13/2011,105.5
10/14/2011,107
10/17/2011,108
10/18/2011,108
10/19/2011,108
10/20/2011,109
10/21/2011,109
10/24/2011,109.4
10/25/2011,111.4
10/26/2011,112.6
10/27/2011,112.6
10/28/2011,112.6
10/31/2011,114.2
11/1/2011,114.2
11/2/2011,114.2
11/3/2011,115.2
11/4/2011,115.5
11/7/2011,115.9
11/8/2011,117.3
11/9/2011,117.3
11/10/2011,117.3
11/11/2011,117.3
11/14/2011,117.5
11/15/2011,117.7
11/16/2011,117.7
11/17/2011,117.7
11/18/2011,117.7
11/21/2011,117.5
11/22/2011,117.2
11/23/2011,115.8
11/25/2011,115.8
11/28/2011,115.8
11/29/2011,114.8
11/30/2011,114.8
12/1/2011,115
12/2/2011,115
12/5/2011,115.5
12/6/2011,116.7
12/7/2011,118.4
12/8/2011,118.4
12/9/2011,118.7
12/12/2011,118.7
12/13/2011,119.2
12/14/2011,119.2
12/15/2011,119.2
12/16/2011,119.2
12/19/2011,119.2
12/20/2011,119.9
12/21/2011,120.6
12/22/2011,120.6
12/23/2011,120.6
12/27/2011,120.6
12/28/2011,121
12/29/2011,121.7
12/30/2011,121.7
1/3/2012,124
1/4/2012,126.4
1/5/2012,128.5
1/6/2012,129.5
1/9/2012,130
1/10/2012,131.5
1/11/2012,131.5
1/12/2012,131.7
1/13/2012,132.2
1/17/2012,134.8
1/18/2012,135.2
1/19/2012,137.7
1/20/2012,137.7
1/23/2012,138.2
1/24/2012,139.4
1/25/2012,141.7
1/26/2012,145
1/27/2012,146
1/30/2012,147
1/31/2012,147
2/1/2012,147.5
2/2/2012,147.9
2/3/2012,148.1
2/6/2012,148.2
2/7/2012,148.5
2/8/2012,150.6
2/9/2012,151.6
2/10/2012,152.1
2/13/2012,152.1
2/14/2012,152.1
2/15/2012,152.1
2/16/2012,152.1
2/17/2012,152.1
2/21/2012,152.3
2/22/2012,153
2/23/2012,155.2
2/24/2012,155.2
2/27/2012,155.7
2/28/2012,155.9
2/29/2012,156
3/1/2012,157.3
3/2/2012,158.1
3/5/2012,158.1
3/6/2012,157.5
3/7/2012,157.5
3/8/2012,157.5
3/9/2012,157.5
3/12/2012,157.5
3/13/2012,157.7
3/14/2012,157.7
3/15/2012,157.9
3/16/2012,158.2
3/19/2012,158.2
3/20/2012,158.2
3/21/2012,158.2
3/22/2012,158.2
3/23/2012,158.2
3/26/2012,158.2
3/27/2012,158.9
3/28/2012,159.4
3/29/2012,159.9
3/30/2012,160.7
4/2/2012,161.3
4/3/2012,160.8
4/4/2012,160.8
4/5/2012,160.8
4/9/2012,160.8
4/10/2012,159.8
4/11/2012,159.3
4/12/2012,159.3
4/13/2012,159.3
4/16/2012,159.4
4/17/2012,160.1
4/18/2012,161.5
4/19/2012,162.9
4/20/2012,163.4
4/23/2012,163.4
4/24/2012,163.4
4/25/2012,163.8
4/26/2012,165.5
4/27/2012,165.6
4/30/2012,166.3
5/1/2012,166.4
5/2/2012,166.4
5/3/2012,166.4
5/4/2012,166.4
5/7/2012,166.9
5/8/2012,166.9
5/9/2012,166.9
5/10/2012,166.9
5/11/2012,166.9
5/14/2012,166.9
5/15/2012,166.7
5/16/2012,166
5/17/2012,163.7
